 50  39  45	 44  45  37	
 50  39  45	 61  33  41	
 50  39  45	 51 -24 -17	
 50  39  45	 52   2   9	
 50  39  45	 51  -1   3	
 50  39  45	 54  38  29	
 44  45  37	 75  14   3	
 44  45  37	 61  33  41	
 75  14   3	 61  33  41	
 61  33  41	 55 -26 -17	
 61  33  41	 47 -14  -7	
 61  33  41	 53  40  35	
 61  33  41	 62   4  30	
 61  33  41	 56  17  10	
 61  33  41	 53 -17  -9	
 61  33  41	 60  11   3	
 61  33  41	 44  10  -7	
 55 -26 -17	 52   2   9	
 55 -26 -17	 51  -1   3	
 55 -26 -17	 53  40  35	
 55 -26 -17	 49 -13 -13	
 55 -26 -17	 50 -26  -8	
 51 -24 -17	 47 -14  -7	
 51 -24 -17	 53 -17  -9	
 51  -1   3	 39  54  30	
 51  -1   3	 50 -26  -8	
 53  40  35	 56  17  10	
 53  40  35	 49 -13 -13	
 53  40  35	 59  42  41	
 56  17  10	 59  42  41	
 53 -17  -9	 63 -26 -22	
 49 -13 -13	 50 -26  -8	
 49 -13 -13	 56  21  12	
 54  38  29	 39  54  30	
 54  38  29	 40  25   4	
 54  38  29	 56 -13 -18	
 39  54  30	 40  25   4	
 59  42  41	 56  21  12	
 59  42  41	 62  33  13	
 59  42  41	 55  48  17	
 59  42  41	 52  13  20	
 59  42  41	 61  38  17	
 59  42  41	 55  -2  15	
 59  42  41	 60  16  27	
 59  42  41	 57  15  12	
 59  42  41	 47  35  42	
 59  42  41	 41  12  14	
 59  42  41	 48  58  37	
 59  42  41	 56   3  30	
 59  42  41	 45   5  25	
 59  42  41	 39  33  22	
 59  42  41	 61  26  40	
 59  42  41	 57  29  49	
 59  42  41	 56  18  12	
 59  42  41	 61  -1  19	
 59  42  41	 51   6  -1	
 59  42  41	 39  45  13	
 50 -26  -8	 56  21  12	
 50 -26  -8	 40  25   4	
 50 -26  -8	 56 -13 -18	
 60  11   3	 44  10  -7	
 60  11   3	 58 -22 -23	
 60  11   3	 63 -26 -22	
 56  21  12	 55  48  17	
 56  21  12	 80 -20 -21	
 44  10  -7	 58 -22 -23	
 58 -22 -23	 62  33  13	
 58 -22 -23	 63 -26 -22	
 58 -22 -23	 67 -34 -16	
 58 -22 -23	 57  15  12	
 40  25   4	 56 -13 -18	
 63 -26 -22	 67 -34 -16	
 55  48  17	 52  13  20	
 52  13  20	 61  38  17	
 56 -13 -18	 80 -20 -21	
 56 -13 -18	 75 -12 -17	
 67 -34 -16	 48  58  37	
 80 -20 -21	 71  -8 -17	
 80 -20 -21	 75 -12 -17	
 80 -20 -21	 74 -14 -20	
 80 -20 -21	 55 -25 -19	
 71  -8 -17	 65  30  29	
 71  -8 -17	 74 -14 -20	
 71  -8 -17	 60 -19 -18	
 71  -8 -17	 47  35  42	
 75 -12 -17	 64  36  35	
 75 -12 -17	 54  51  28	
 65  30  29	 60 -19 -18	
 74 -14 -20	 55 -25 -19	
 74 -14 -20	 60 -19 -18	
 74 -14 -20	 49  51  30	
 72 -12 -21	 54  51  28	
 72 -12 -21	 60  28  24	
 55 -25 -19	 53 -23 -18	
 55 -25 -19	 49  51  30	
 54  51  28	 33  45  15	
 54  51  28	 67  22  32	
 54  51  28	 40  27   5	
 54  51  28	 48  15   8	
 54  51  28	 39  37  23	
 60  28  24	 53 -23 -18	
 48  58  37	 33  45  13	
 48  58  37	 64  25  30	
 49  51  30	 33  45  15	
 49  51  30	 67  22  32	
 45   5  25	 50  43  36	
 67  22  32	 61  26  40	
 67  22  32	 57 -32  24	
 67  22  32	 78  11  13	
 67  22  32	 64 -10  24	
 67  22  32	 48  15   8	
 61  26  40	 57 -32  24	
 57  29  49	 40  18  28	
 50  43  36	 40  18  28	
 50  43  36	 78  11  13	
 50  43  36	 73  23  50	
 50  43  36	 64 -10  24	
 40  18  28	 78  11  13	
 73  23  50	 61  -1  19	
 73  23  50	 64 -10  24	
 73  23  50	 64  25  30	
 61  -1  19	 64  25  30	
 51   6  -1	 39  45  13	
 64 -10  24	 64  25  30	
 39  45  13	 64  25  30	
 73   3  22	 75   3  20	
 73   3  22	 68  15  26	
 73   3  22	 74   4  19	
 75   3  20	 72   1  25	
 75   3  20	 32   9   9	
 75   3  20	 65  19  32	
 75   3  20	 74   1  25	
 75   3  20	 68  15  26	
 75   3  20	 76   6  18	
 75   3  20	 75   2  22	
 75   3  20	 65  22  24	
 72   1  25	 32   9   9	
 32   9   9	 16  -0   4	
 16  -0   4	 26   8  18	
 16  -0   4	 76   6  18	
 26   8  18	 66  17   4	
 26   8  18	 80   6   9	
 26   8  18	 41  24  18	
 26   8  18	 40  36  30	
 26   8  18	 78   7  28	
 65  19  32	 74   1  25	
 68  15  26	 75   2  22	
 76   6  18	 33  29  16	
 76   6  18	 82   2   4	
 76   6  18	 65  22  24	
 76   6  18	 64  27  21	
 76   6  18	 56  36  19	
 75   2  22	 74   4  19	
 75   2  22	 65  22  24	
 74   4  19	 69   2  19	
 66  17   4	 33  29  16	
 66  17   4	 82   3   3	
 66  17   4	 40  44  31	
 33  29  16	 82   3   3	
 80   6   9	 41  24  18	
